code,name,market
688981,,SH
000063,,SZ
000547,航天发展,SZ
000554,,SZ
000968,,SZ
000988,,SZ
001896,,SZ
002050,三花智控,SZ
002131,利欧股份,SZ
002155,,SZ
002156,,SZ
002195,岩山科技,SZ
002202,金风科技,SZ
002207,,SZ
002261,拓维信息,SZ
002413,雷科防务,SZ
002491,,SZ
002506,,SZ
002594,,SZ
300058,蓝色光标,SZ
300059,,SZ
300157,,SZ
300164,,SZ
300191,,SZ
300308,,SZ
300502,,SZ
300750,,SZ
600028,,SH
600030,,SH
600089,,SH
600111,,SH
600118,中国卫星,SH
600256,,SH
600339,,SH
600410,,SH
600498,烽火通信,SH
600519,,SH
600584,,SH
600759,,SH
600871,,SH
600879,航天电子,SH
600938,,SH
601138,,SH
601179,,SH
601808,,SH
601857,,SH
601872,,SH
601899,,SH
603619,,SH
603993,,SH
